COMPOUND,CASRN,RACEMIC,SET,logS0_muM,SD,PREDICTED_logS0_muM,PREDICTION_SD,SIGNED_ERROR
Perphenazine,58-39-9,0,SET1,1.52,0.17,1.55,0.23,0.03
Phenacetin,62-44-2,0,SET1,3.7,0.14,4.04,0.04,0.34
Phenazopyridine,94-78-0,0,SET1,1.98,0.16,2.1,0.18,0.12
Pindolol,13523-86-9,1,SET1,2.25,0.15,3.04,0.07,0.79
Pravastatin,81093-37-0,0,SET1,1.14,0.15,3.05,0.28,1.91
"Prednisolone, Methyl-",83-43-2,0,SET1,2.67,0.18,2.58,0.37,-0.09
Primidone,125-33-7,0,SET1,3.47,0.14,3.79,0.03,0.32
Probenecid,57-66-9,0,SET1,1.17,0.2,3.06,0.05,1.89
Promazine,58-40-2,0,SET1,1.55,0.13,2.05,0.22,0.5
Promethazine,60-87-7,1,SET1,1.62,0.19,1.89,0.04,0.27
Repaglinide,135062-02-1,0,SET1,1.23,0.17,0.57,0.08,-0.66
"Resveratrol, trans-",501-36-0,0,SET1,2.25,0.18,2.78,0.3,0.53
Ritonavir,155213-67-5,0,SET1,0.83,0.16,0.22,0.16,-0.61
Rofecoxib,162011-90-7,0,SET1,1.39,0.16,1.91,0.09,0.52
Spironolactone,52-01-7,0,SET1,1.79,0.16,0.21,0.08,-1.58
Strychnine,57-24-9,0,SET1,2.62,0.19,2.89,0.14,0.27
Sulfasalazine,599-79-1,0,SET1,-0.41,0.14,0.32,0.06,0.73
Sulfathiazole,72-14-0,0,SET1,3.38,0.22,2.8,0.28,-0.58
Sulfisomidine,515-64-0,0,SET1,3.84,0.14,2.6,0.25,-1.24
Sulfisoxazole,127-69-5,0,SET1,2.87,0.14,2.8,0.3,-0.07
Sulindac,32004-68-5,0,SET1,1.04,0.21,0.17,0.08,-0.87
Tetracaine,94-24-6,0,SET1,2.89,0.11,2.83,0.13,-0.06
Tetracycline,64-75-5,0,SET1,2.78,0.15,2.77,0.51,-0.01
Thiacetazone,104-06-3,0,SET1,2.5,0.16,3.04,0.17,0.54
Triamcinolone,124-94-7,0,SET1,2.48,0.21,3.25,0.41,0.77
Triamterene,396-01-0,0,SET1,1.89,0.14,2.1,0.41,0.21
Warfarin,81-81-2,0,SET1,1.22,0.2,1.59,0.09,0.37
Xanthine,69-89-6,0,SET1,2.4,0.21,3.39,0.11,0.99
Amantadine,768-94-5,0,SET2,3.81,0.5,3.37,0.09,-0.44
Amodiaquine,86-42-0,0,SET2,0.51,0.65,0.34,0.09,-0.17
Bisoprolol,66722-44-9,1,SET2,3.91,0.59,2.86,0.08,-1.05
Buprenorphine,52485-79-7,0,SET2,-0.07,0.83,0.83,0.15,0.9
Chlorprothixene,113-59-7,0,SET2,0.01,0.51,0.69,0.2,0.68
Clofazimine,2030-63-9,0,SET2,-3.05,0.93,-2.2,0.26,0.85
Curcumin,458-37-7,0,SET2,0.64,0.68,1.86,0.1,1.22
Danazol,17230-88-5,0,SET2,-0.1,0.52,0.33,0.16,0.43
Didanosine,69655-05-6,0,SET2,4.76,0.54,4.88,0.08,0.12
Diflunisal,22494-42-4,0,SET2,1.01,0.56,1.81,0.06,0.8
Diphenhydramine,58-73-1,0,SET2,2.79,0.55,3.05,0.11,0.26
Etoxadrol,28189-85-7,0,SET2,4.04,0.55,2.68,0.08,-1.36
Ezetimibe,163222-33-1,0,SET2,1.06,0.51,0.66,0.09,-0.4
Fentiazac,18046-21-4,0,SET2,0.16,0.65,0.83,0.13,0.67
Itraconazole,84625-61-6,1,SET2,-2.98,0.61,-1.47,0.09,1.51
Miconazole,22916-47-8,1,SET2,0.18,0.5,0.06,0.04,-0.12
Mifepristone,84371-65-3,0,SET2,0.78,0.75,0.5,0.09,-0.28
Omeprazole,73590-58-6,0,SET2,2.3,0.5,2.0,0.13,-0.3
Pioglitazone,111025-46-8,1,SET2,-0.2,0.66,1.36,0.05,1.56
Procaine,59-46-1,0,SET2,3.7,0.6,3.33,0.22,-0.37
Quinine,130-95-0,0,SET2,2.94,0.57,2.39,0.05,-0.55
Raloxifene,84449-90-1,0,SET2,-0.82,0.56,-1.36,0.1,-0.54
Rifabutin,72559-06-9,0,SET2,1.91,0.66,-0.11,0.26,-2.02
Saquinavir,127779-20-8,0,SET2,0.08,0.58,0.05,0.21,-0.03
Sulfadimethoxine,122-11-2,0,SET2,2.26,0.7,2.51,0.26,0.25
Tamoxifen,10540-29-1,0,SET2,-1.52,0.72,0.63,0.12,2.15
Telmisartan,144701-48-4,0,SET2,-0.73,0.84,-1.0,0.27,-0.27
Terfenadine,50679-08-8,1,SET2,-1.74,0.71,-0.36,0.07,1.38
Thiabendazole,148-79-8,0,SET2,2.03,0.5,2.32,0.03,0.29
